lat_r,lng_r,alert_count
17.155,79.618,140
16.947,80.056,115
17.163,79.547,88
17.276,78.812,88
17.16,79.535,86
17.217,79.152,84
17.231,78.98,81
17.226,79.138,80
17.271,78.821,80
16.948,80.055,80
16.95,80.053,80
17.04,79.851,79
17.052,79.838,79
17.159,79.536,79
17.298,78.74,78
17.152,79.566,78
17.223,79.143,78
17.136,79.633,78
17.263,78.84,78
17.229,78.977,78
16.949,80.054,77
17.233,78.983,77
17.161,79.534,77
17.029,79.861,77
16.946,80.057,77
17.215,79.155,77
17.229,78.996,77
17.214,79.158,76
17.259,78.847,76
17.257,78.876,76
17.121,79.649,76
17.231,78.967,76
17.199,79.19,76
17.229,79.02,75
17.235,78.954,75
17.23,78.97,75
17.296,78.741,75
17.204,79.187,75
17.203,79.187,74
17.198,79.192,74
17.054,79.831,74
17.075,79.802,74
17.171,79.284,74
17.159,79.442,74
17.202,79.188,74
17.258,78.868,73
17.164,79.52,73
17.164,79.519,73
17.163,79.554,73
17.23,78.979,73
17.23,79.007,72
17.161,79.486,72
17.2,79.189,72
17.275,78.814,72
17.216,79.154,72
17.233,79.114,72
17.152,79.607,72
17.295,78.742,72
17.277,78.81,71
17.267,78.828,71
17.23,79.008,71
17.262,78.841,71
17.153,79.608,71
17.23,79.032,71
17.218,79.151,70
17.261,78.843,70
17.23,79.005,70
17.241,78.938,70
17.258,78.856,70
17.237,78.949,70
17.161,79.488,70
17.233,79.116,70
17.165,79.529,70
17.172,79.372,70
16.983,80.003,69
17.269,78.824,69
17.205,79.186,69
17.161,79.481,69
17.119,79.652,69
17.083,79.79,69
17.258,78.866,69
17.23,79.01,69
17.152,79.573,69
17.231,79.039,69
16.957,80.042,69
17.157,79.458,69
17.161,79.479,68
17.2,79.217,68
17.042,79.85,68
17.249,78.905,68
17.24,78.941,68
17.01,79.898,68
17.028,79.862,68
17.161,79.492,68
17.16,79.5,68
17.112,79.685,68
17.156,79.559,68
17.258,78.872,68
17.258,78.864,68
17.279,78.806,67
