alertType,vehicleNum,date,time,startTime,endTime,GPSlat,GPSlng,Speed,Time__seconds
hmw,TS08Z0204,01-01-2024,19:28:18,01-01-2024 19:28,01-01-2024 19:28,17.3934217,78.4762283,26,70098
pcw,TS08Z0204,03-01-2024,11:41:37,03-01-2024 11:41,03-01-2024 11:41,17.3865117,78.4784567,47,42097
hmw,TS08Z0204,03-01-2024,11:42:30,03-01-2024 11:42,03-01-2024 11:42,17.3854133,78.4819383,27,42150
pcw,TS08Z0204,03-01-2024,12:40:27,03-01-2024 12:40,03-01-2024 12:40,17.3687033,78.5243083,25,45627
pcw,TS08Z0204,03-01-2024,12:51:26,03-01-2024 12:51,03-01-2024 12:51,17.3517383,78.5467383,0,46286
pcw,TS08Z0204,03-01-2024,12:54:02,03-01-2024 12:54,03-01-2024 12:54,17.3439033,78.5549717,0,46442
hmw,TS08Z0204,03-01-2024,13:19:12,,,17.3317983,78.591075,0,47952
hmw,TS08Z0204,03-01-2024,13:19:12,,,17.3317983,78.591075,0,47952
hmw,TS08Z0204,03-01-2024,13:30:06,,,17.3197633,78.646135,0,48606
hmw,TS08Z0204,03-01-2024,13:30:23,,,17.3198417,78.6485367,0,48623
hmw,TS08Z0204,03-01-2024,13:30:56,,,17.31924,78.65197,0,48656
hmw,TS08Z0204,03-01-2024,13:31:39,,,17.3176617,78.6564717,0,48699
ldw,TS08Z0204,03-01-2024,13:32:05,03-01-2024 13:32,03-01-2024 13:32,17.3173733,78.6609367,0,48725
hmw,TS08Z0204,03-01-2024,13:34:50,,,17.3114567,78.68328,0,48890
hmw,TS08Z0204,03-01-2024,13:34:53,,,17.3114567,78.68328,0,48893
hmw,TS08Z0204,03-01-2024,13:35:42,,,17.3094867,78.6881833,0,48942
hmw,TS08Z0204,03-01-2024,13:37:02,,,17.3093817,78.69648,0,49022
hmw,TS08Z0204,03-01-2024,13:37:05,,,17.3093817,78.69648,0,49025
hmw,TS08Z0204,03-01-2024,13:40:36,,,17.3064767,78.7249383,0,49236
ldw,TS08Z0204,03-01-2024,13:43:19,03-01-2024 13:43,03-01-2024 13:43,17.2966233,78.7406417,0,49399
ldw,TS08Z0204,03-01-2024,13:43:33,03-01-2024 13:43,03-01-2024 13:43,17.2951783,78.7416067,0,49413
ldw,TS08Z0204,03-01-2024,13:43:37,03-01-2024 13:43,03-01-2024 13:43,17.294365,78.7433317,0,49417
ldw,TS08Z0204,03-01-2024,13:43:51,03-01-2024 13:43,03-01-2024 13:43,17.2939617,78.74522,0,49431
ldw,TS08Z0204,03-01-2024,13:47:33,03-01-2024 13:47,03-01-2024 13:47,17.284,78.779465,0,49653
ldw,TS08Z0204,03-01-2024,13:48:37,03-01-2024 13:48,03-01-2024 13:48,17.2796083,78.7875717,0,49717
ldw,TS08Z0204,03-01-2024,13:48:56,03-01-2024 13:48,03-01-2024 13:48,17.27967,78.7928383,0,49736
ldw,TS08Z0204,03-01-2024,13:49:13,03-01-2024 13:49,03-01-2024 13:49,17.280005,78.794775,0,49753
ldw,TS08Z0204,03-01-2024,13:49:27,03-01-2024 13:49,03-01-2024 13:49,17.28071,78.7987183,0,49767
ldw,TS08Z0204,03-01-2024,13:49:45,03-01-2024 13:49,03-01-2024 13:49,17.280735,78.8027667,0,49785
ldw,TS08Z0204,03-01-2024,13:49:55,03-01-2024 13:49,03-01-2024 13:49,17.27999,78.8043667,0,49795
ldw,TS08Z0204,03-01-2024,13:49:59,03-01-2024 13:49,03-01-2024 13:49,17.27999,78.8043667,0,49799
ldw,TS08Z0204,03-01-2024,13:50:13,03-01-2024 13:50,03-01-2024 13:50,17.2790767,78.8060333,0,49813
ldw,TS08Z0204,03-01-2024,13:50:23,03-01-2024 13:50,03-01-2024 13:50,17.2782117,78.8076433,0,49823
ldw,TS08Z0204,03-01-2024,13:50:57,03-01-2024 13:50,03-01-2024 13:50,17.2744833,78.8146167,0,49857
hmw,TS08Z0204,03-01-2024,13:51:03,,,17.2744833,78.8146167,0,49863
ldw,TS08Z0204,03-01-2024,13:51:11,03-01-2024 13:51,03-01-2024 13:51,17.2735583,78.81636,0,49871
ldw,TS08Z0204,03-01-2024,13:51:58,03-01-2024 13:51,03-01-2024 13:51,17.2687367,78.8248767,0,49918
ldw,TS08Z0204,03-01-2024,13:52:12,03-01-2024 13:52,03-01-2024 13:52,17.2678933,78.8264067,0,49932
fcw,TS08Z0204,03-01-2024,13:52:24,03-01-2024 13:52,03-01-2024 13:52,17.2663333,78.8292133,0,49944
ldw,TS08Z0204,03-01-2024,13:53:07,03-01-2024 13:53,03-01-2024 13:53,17.2647917,78.833,0,49987
ldw,TS08Z0204,03-01-2024,13:53:25,03-01-2024 13:53,03-01-2024 13:53,17.2641433,78.8360367,0,50005
hmw,TS08Z0204,03-01-2024,13:53:32,,,17.2641433,78.8360367,0,50012
ldw,TS08Z0204,03-01-2024,13:53:47,03-01-2024 13:53,03-01-2024 13:53,17.2632717,78.83906,0,50027
ldw,TS08Z0204,03-01-2024,13:54:03,03-01-2024 13:54,03-01-2024 13:54,17.2624183,78.8405683,0,50043
ldw,TS08Z0204,03-01-2024,13:54:28,03-01-2024 13:54,03-01-2024 13:54,17.2600683,78.8454017,0,50068
ldw,TS08Z0204,03-01-2024,13:54:51,03-01-2024 13:54,03-01-2024 13:54,17.2586433,78.8487133,0,50091
ldw,TS08Z0204,03-01-2024,13:55:01,03-01-2024 13:55,03-01-2024 13:55,17.2584967,78.8502683,0,50101
ldw,TS08Z0204,03-01-2024,13:55:11,03-01-2024 13:55,03-01-2024 13:55,17.258445,78.8519217,0,50111
hmw,TS08Z0204,03-01-2024,13:55:31,,,17.258425,78.855135,0,50131
ldw,TS08Z0204,03-01-2024,13:56:14,03-01-2024 13:56,03-01-2024 13:56,17.2580633,78.863055,0,50174
ldw,TS08Z0204,03-01-2024,13:56:47,03-01-2024 13:56,03-01-2024 13:56,17.2581317,78.8688133,0,50207
ldw,TS08Z0204,03-01-2024,13:57:20,03-01-2024 13:57,03-01-2024 13:57,17.2576767,78.873905,0,50240
ldw,TS08Z0204,03-01-2024,13:57:49,03-01-2024 13:57,03-01-2024 13:57,17.25631,78.8787667,0,50269
hmw,TS08Z0204,03-01-2024,13:58:04,,,17.2562067,78.882175,0,50284
ldw,TS08Z0204,03-01-2024,13:58:38,03-01-2024 13:58,03-01-2024 13:58,17.2562817,78.8863167,0,50318
ldw,TS08Z0204,03-01-2024,14:01:16,03-01-2024 14:01,03-01-2024 14:01,17.2508367,78.900885,0,50476
ldw,TS08Z0204,03-01-2024,14:03:04,03-01-2024 14:03,03-01-2024 14:03,17.2463717,78.9152683,0,50584
fcw,TS08Z0204,03-01-2024,14:03:05,03-01-2024 14:03,03-01-2024 14:03,17.2463717,78.9152683,0,50585
ldw,TS08Z0204,03-01-2024,14:03:17,03-01-2024 14:03,03-01-2024 14:03,17.2460033,78.9170867,0,50597
ldw,TS08Z0204,03-01-2024,14:04:03,03-01-2024 14:04,03-01-2024 14:04,17.2448283,78.9238783,0,50643
ldw,TS08Z0204,03-01-2024,14:04:14,03-01-2024 14:04,03-01-2024 14:04,17.244015,78.9271517,0,50654
ldw,TS08Z0204,03-01-2024,14:04:42,03-01-2024 14:04,03-01-2024 14:04,17.2429783,78.9309483,0,50682
ldw,TS08Z0204,03-01-2024,14:04:56,03-01-2024 14:04,03-01-2024 14:04,17.2420367,78.93422,0,50696
ldw,TS08Z0204,03-01-2024,14:05:04,03-01-2024 14:05,03-01-2024 14:05,17.2416767,78.9356783,0,50704
ldw,TS08Z0204,03-01-2024,14:05:11,03-01-2024 14:05,03-01-2024 14:05,17.2416767,78.9356783,0,50711
ldw,TS08Z0204,03-01-2024,14:05:42,03-01-2024 14:05,03-01-2024 14:05,17.240115,78.941235,0,50742
ldw,TS08Z0204,03-01-2024,14:05:50,03-01-2024 14:05,03-01-2024 14:05,17.2393533,78.94319,0,50750
ldw,TS08Z0204,03-01-2024,14:05:54,03-01-2024 14:05,03-01-2024 14:05,17.2385817,78.9451717,0,50754
ldw,TS08Z0204,03-01-2024,14:06:03,03-01-2024 14:06,03-01-2024 14:06,17.2385817,78.9451717,0,50763
